status,flow,category,backend_value,filename,used_by_surface,tile_art,crop_type,aspect,px_width,px_height,format,max_kb,notes
VERIFIED,Character Creation,Species,HUMAN,species_HUMAN.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,BASTET,species_BASTET.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,KITSUNE,species_KITSUNE.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,LAMIA,species_LAMIA.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,GENIE,species_GENIE.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,CONSTRUCT,species_CONSTRUCT.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,DEMON,species_DEMON.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,ANGEL,species_ANGEL.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,ELF,species_ELF.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,ALIEN,species_ALIEN.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,MERFOLK,species_MERFOLK.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,HARPY,species_HARPY.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,VAMPIRE,species_VAMPIRE.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,WEREWOLF,species_WEREWOLF.webp,KindStop (quick+advanced),required,bust,4:5,600,750,webp,60,TileGrid already supports imageUrl; geometric placeholder today. Bust showing defining trait
VERIFIED,Character Creation,Species,CUSTOM,species_CUSTOM.webp,KindStop,ui_treatment,n/a,n/a,0,0,webp,0,"Custom gets a UI tile, not generated art"
VERIFIED,Character Creation,Body Identity Kibbe,DRAMATIC,body_identity_kibbe_DRAMATIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,SOFT_DRAMATIC,body_identity_kibbe_SOFT_DRAMATIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
