component_package,what_it_does,pages_using_count,pages_using,presentation_only_or_behavior,has_view,has_viewmodel,has_contract,has_fixtures,preview_route,shared_foundation,notes
components/studio/studio-account-provider,Provides authenticated studio account context with coin balance and profile data to child components.,54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,behavior,no,yes,yes,yes,/dev/ui-preview/studio-account-provider,yes,Imports fetchCurrentStudioAccount from lib/client; owns data-fetching lifecycle in useEffect
components/studio/studio-economy-widget,Displays user's coin balance with buy and notification info panels.,54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/studio-economy-widget,yes,Consumes useStudioAccount context but doesn't fetch data itself; manages local modal state
components/studio/studio-mobile-nav,"Mobile navigation drawer with primary links, utility links, social links, and user account display.",54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/studio-mobile-nav,yes,Pure navigation composition with local open/closed state based on pathname
components/studio/studio-sidebar,Desktop sidebar navigation with collapsed/expanded layout and embedded economy widget.,54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/studio-sidebar,yes,Composition and routing UI; passes pathname to determine active links
components/studio/studio-top-bar,Header bar with branding and user account icon link.,54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/studio-top-bar,yes,Simple header composition with styled account link
components/studio/StudioShell.jsx,Main layout wrapper providing studio-wide context (account) and routing structure.,54,/studio; /studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-loadout; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/creations/[id]; /studio/feedback; /studio/games; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/my-creations/[id]/preview; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/story-rooms/[id]; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,no,no,no,no,,yes,Layout component wrapping child content with StudioAccountProvider
components/studio/studio-page-header,"Page header with eyebrow, title, description, and slot for actions.",48,/studio/account; /studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/community; /studio/create; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/feedback; /studio/games; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library; /studio/official-characters; /studio/play; /studio/profile; /studio/profile/[username]; /studio/profile/[username]/connections; /studio/story-rooms; /studio/storylines; /studio/submit-canon; /studio/templates/characters,presentation_only,yes,no,yes,yes,/dev/ui-preview/account-stub-page,yes,Pure presentation component; re-exports view file
components/studio/studio-back-link,Breadcrumb link for navigating back in the studio.,32,/studio/account/appearance; /studio/account/notifications; /studio/account/preferences; /studio/account/privacy; /studio/account/safety; /studio/account/subscription; /studio/create/actor-mechanics-profile; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/location-registry; /studio/create/lore; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/progression-profile; /studio/create/quest-registry; /studio/create/room-template; /studio/create/rules-codex; /studio/create/scenario; /studio/create/stats-pools-profile; /studio/create/storyline; /studio/create/wardrobe; /studio/templates/characters,presentation_only,yes,no,yes,yes,/dev/ui-preview/account-stub-page,yes,Simple link wrapper component
components/ui/CrestfallSelect.jsx,Dropdown select component with keyboard escape handling and click-outside detection.,23,/studio/account; /studio/community; /studio/create/character; /studio/create/character-template; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/mechanics-module; /studio/create/narrator; /studio/create/organization-registry; /studio/create/outfit; /studio/create/player-character; /studio/create/pose; /studio/create/quest-registry; /studio/create/room-template; /studio/create/scenario; /studio/create/wardrobe; /studio/creations/[id]; /studio/image-studio; /studio/my-creations/[id]/edit; /studio/story-rooms/[id],presentation_only,no,no,no,no,/dev/ui-preview/asset-builder,yes,Form control with local open/closed state; no data fetching
components/SiteHeader.jsx,"Main site navigation header with Crestfall logo, title, and navigation links.",14,/; /characters; /characters/[...slug]; /chronicle; /factions; /factions/[...slug]; /intro; /locations; /locations/[...slug]; /lore; /lore/[...slug]; /stories; /terms; /terms/[slug],presentation_only,no,no,no,no,,yes,Static header composition with conditional logo sizing
