target,file,section_path,control_label,control_type,default_value,required,validation,saves_via,handler_name,data_source,visible_when,notes
A,components/studio/create/character/character-color-palette/CharacterColorPaletteModal.view.jsx,Studio > Create > Character > Character Color Palette > Modal,Close palette selector (X icon button),button,NONE,no,NONE,"Does not persist a value. Fires onClose prop, traced to useCharacterColorPaletteModalViewModel's onClose: () => setOpen(false), which only toggles local open state. NOTHING CONSUMES a persisted value from this control.","onClose (inline arrow calling onClose?.() in view line 137, wired to () => setOpen(false) in useCharacterColorPaletteModalViewModel.js line 77)","None, local React state (open) in useCharacterColorPaletteModalViewModel.js","open is true (modal rendered only when open prop is true, view.jsx line 108)","aria-label is Close palette selector, lines 135 to 142 of view."
A,components/studio/create/character/character-color-palette/CharacterColorPaletteModal.view.jsx,Studio > Create > Character > Character Color Palette > Modal > Backdrop,Modal backdrop (click outside to dismiss),other (click-outside dismiss region),NONE,no,NONE,"Does not persist a value. onMouseDown checks event.target === event.currentTarget and calls onClose?.(), same onClose chain as the X button (setOpen(false) in the view model). NOTHING CONSUMES a persisted value from this control.","inline onMouseDown handler, view.jsx lines 111 to 113, calling onClose?.()","None, local React state (open) in useCharacterColorPaletteModalViewModel.js",open is true,"Not a labeled control, included because it is a distinct interactive dismiss affordance with its own handler."
A,components/studio/create/character/character-color-palette/CharacterColorPaletteModal.view.jsx,Studio > Create > Character > Character Color Palette > Modal > Palette Family > Palette Card,"Palette preview card (palette label, e.g. Crestfall Default, Bright Winter, Deep Winter, Warm Autumn; repeats once per palette across all families)",repeatable-list,"selectedPaletteId defaults to DEFAULT_CHARACTER_COLOR_PALETTE_ID via getCharacterColorPalette(value) in useCharacterColorPaletteModalViewModel.js line 54, when value prop is not supplied",yes (exactly one palette is always considered selected; there is no unselected/null state exposed by the View),"NONE explicit in this unit; selection is constrained to the enum of palette ids present in paletteFamilies, which the ViewModel builds from CHARACTER_COLOR_PALETTES filtered by PALETTE_FAMILIES (Crestfall, Winter, Spring, Summer, Autumn)","onSelect on the PalettePreviewCard button (view.jsx line 165, onSelect={() => onChoosePalette?.(palette?.id || """")}) calls the onChoosePalette prop, which useCharacterColorPaletteModalViewModel.js wires to its internal choosePalette function (lines 56 to 59): choosePalette calls onChange?.(paletteId) then setOpen(false). onChange is a prop passed into useCharacterColorPaletteModalViewModel from the parent CharacterColorPaletteModal.jsx wrapper, which forwards whatever onChange the consuming page supplies (per README.md contract: <CharacterColorPaletteModal value={paletteId} onChange={setPaletteId} />). Within this unit's boundary, the value is reported via the onChange callback; the actual persistence (for example a save/submit call in IdentityStep.jsx, IdentitySection.jsx, or PlayerCharacterCreator.jsx) happens outside this unit and was not read as part of this pass.",PalettePreviewCard onClick -> onSelect -> onChoosePalette (view.jsx lines 21 to 64 and 160 to 167) -> choosePalette (useCharacterColorPaletteModalViewModel.js lines 56 to 59),"@/components/studio/create/character/constants/characterColorPalettes exports CHARACTER_COLOR_PALETTES, DEFAULT_CHARACTER_COLOR_PALETTE_ID, getCharacterColorPalette, imported in useCharacterColorPaletteModalViewModel.js lines 5 to 9. This unit reads from that constants module and writes only via the onChange prop; the constants module and any further persistence layer are behind this unit's boundary and were not opened.","ALWAYS when the modal is open and paletteFamilies is non-empty (view.jsx line 145 gates the whole grid on paletteFamilies.length > 0; a family with zero palettes after filtering is skipped, view.jsx lines 148 to 152)","One control row represents all palette cards across all families (Crestfall, Winter, Spring, Summer, Autumn per the ViewModel's PALETTE_FAMILIES list; fixtures only exercise Crestfall, Winter, Autumn). Selected state is derived by palette.id === selectedPaletteId, shown with a check badge and gold border/shadow in PalettePreviewCard. Selecting a card also closes the modal via setOpen(false)."
A,components/studio/create/character/character-color-palette/CharacterColorPaletteModal.view.jsx,Studio > Create > Character > Character Color Palette > Trigger,Character Color Palette trigger button (shows selected palette label and swatches),modal-trigger,NONE (opens modal; not itself a value holder),no,NONE,"Does not save a value itself. Fires onOpen prop, traced to useCharacterColorPaletteModalViewModel's onOpen: () => setOpen(true), which only toggles local open state. NOTHING CONSUMES a persisted value from this control.","onOpen (inline arrow calling onOpen?.() in view, wired to () => setOpen(true) in useCharacterColorPaletteModalViewModel.js line 76)","None, local React state (open) in useCharacterColorPaletteModalViewModel.js",ALWAYS,"Top-level button lines 83 to 106 of view. Displays triggerPalette.label, triggerDescription, and PaletteSwatches for the currently selected palette."
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Character Creator > Draft Progress,"Save Draft (top panel button, reads Saving... while in progress)",button,NONE,no,NONE,"onSave prop wired to saveDraft in useCharacterCreatorViewModel.js. saveDraft builds creationPayload via buildCharacterCreationPayload(form), calls createDraft(creationPayload) which defaults to createCharacterDraft from lib/client/studio/characters/characterClient, extracts the created record via extractCreationFromApiResponse, sets saveStatus to saved or error, then on success either calls the onCreated callback prop or router.push to /studio/my-creations/{id}/edit.",onSave (view) to saveDraft (viewmodel),createCharacterDraft function in lib/client/studio/characters/characterClient (exact module path per import in useCharacterCreatorViewModel.js); internal API boundary not traced further per instructions,"ALWAYS (rendered unconditionally); disabled when saveDisabled is true, which the viewmodel sets to true only while saveStatus is saving","Same saveDraft handler as the Finish Draft button at the bottom of the editor panel when on the review step, so the two buttons are functionally duplicate save triggers at different scroll positions."
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Character Creator > Draft Progress > Step Navigator,"Step selector button (one per wizard step: Identity, Appearance, Body, Behavior, Review)",button,"activeStep defaults to identity (useState(""identity"") in useCharacterCreatorViewModel.js)",no,NONE,"onSelectStep prop wired directly to the raw setActiveStep React state setter (not wrapped by goNext/goBack). This only updates local wizard-step state in useCharacterCreatorViewModel.js, which drives stepItems (active/visited highlighting) and which application-owned step editor content the Shell renders into editorContent. NOTHING CONSUMES IT for persistence; no save/submit call fires on step selection alone.","onSelectStep (view) mapped to setActiveStep (viewmodel, unwrapped useState setter)","none, local component state only",ALWAYS,Repeat pattern: stepItems.map renders one identical button per entry in CHARACTER_CREATOR_STEPS from CharacterCreator.contract.js (5 steps total). Emitted as one row per instructions. Clicking does not validate or gate on prior step completion; any step is reachable at any time.
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Character Creator > Editor Panel,Back,button,NONE,no,NONE,"onBack prop wired to goBack in useCharacterCreatorViewModel.js, which computes the previous step id from CHARACTER_CREATOR_STEP_IDS and calls setActiveStep. Local wizard navigation only, NOTHING CONSUMES IT for persistence.",onBack (view) to goBack (viewmodel),"none, local component state only","ALWAYS, but disabled when activeIndex === 0 (already on the first step, identity)",None.
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Character Creator > Editor Panel,Finish Draft (reads Saving... while in progress),button,NONE,no,NONE,"onSave prop wired to saveDraft in useCharacterCreatorViewModel.js, identical trail to the top Save Draft button: buildCharacterCreationPayload(form) to createDraft/createCharacterDraft (lib/client/studio/characters/characterClient) to extractCreationFromApiResponse, then router.push on success.",onSave (view) to saveDraft (viewmodel),createCharacterDraft function in lib/client/studio/characters/characterClient,Rendered only when activeStep === review; replaces the Next button on that step. Disabled when saveDisabled (saveStatus is saving).,Functionally duplicates the top-of-panel Save Draft button.
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Character Creator > Editor Panel,Next,button,NONE,no,NONE,"onNext prop wired to goNext in useCharacterCreatorViewModel.js, which computes the next step id from CHARACTER_CREATOR_STEP_IDS (clamped to the last index) and calls setActiveStep. Local wizard navigation only, NOTHING CONSUMES IT for persistence.",onNext (view) to goNext (viewmodel),"none, local component state only","Rendered only when activeStep is not review (identity, appearance, body, behavior steps); replaced by the Finish Draft button on the review step",None.
A,components/studio/create/character/character-template-picker/CharacterTemplateModal.view.jsx,Studio > Create > Character > Character Template Picker,"Close template picker (X icon button, top right)",button,NONE,no,NONE,NOTHING CONSUMES IT beyond closing the modal. onClose is a pass-through prop from the Shell (props.onClose from useCharacterTemplateModalViewModel) that the caller CharacterCreator.jsx wires to its own local dismiss handler (setTemplateModalOpen(false) per README example); no data is persisted.,onClose (invoked as onClose?.() in an inline onClick),"props.onClose passed into useCharacterTemplateModalViewModel, forwarded unchanged as CharacterTemplateModalView onClose prop",ALWAYS,"Plain dismiss action, aria-label Close template picker."
A,components/studio/create/character/character-template-picker/CharacterTemplateModal.view.jsx,Studio > Create > Character > Character Template Picker,Search templates... (search input),text,""""" (empty string, searchQuery useState initial value in useCharacterTemplateModalViewModel)",no,NONE,"Local component state only, setSearchQuery in useCharacterTemplateModalViewModel. Drives the visibleTemplates useMemo filter (case-insensitive match against title, categoryLabel, description) purely client-side. NOTHING CONSUMES IT beyond local filtering; no request is made and no value is reported to the Shell or any parent.","onChangeSearchQuery, wired to setSearchQuery, fired via onChange={(event) => onChangeSearchQuery?.(event.target.value)}","normalizedTemplates array built from props.templates inside useCharacterTemplateModalViewModel (client-side array filter), no network call",ALWAYS,Placeholder text Search templates...
A,components/studio/create/character/character-template-picker/CharacterTemplateModal.view.jsx,Studio > Create > Character > Character Template Picker > Tabs,"Template group tabs (Built-In, My Templates, Community)",tag-picker,BUILT_IN (activeTabId initial state in useCharacterTemplateModalViewModel useState(BUILT_IN_TAB_ID)),no,NONE,"Local component state only, setActiveTabId in useCharacterTemplateModalViewModel. Selecting a tab does not persist or report anywhere outside this unit; it only changes local activeTabId, which in turn toggles showTemplateGrid and swaps future-tab empty-state copy. NOTHING CONSUMES IT beyond local render state.","onChooseTab, wired to setActiveTabId (React useState setter), fired via onClick={() => onChooseTab?.(tab?.id || """")} in the view","TEMPLATE_TABS constant array defined in useCharacterTemplateModalViewModel.js, no fetch or API",ALWAYS,"Repeats one control per tab in TEMPLATE_TABS (currently 3: BUILT_IN, MY_TEMPLATES, COMMUNITY), one row emitted per instructions. My Templates and Community tabs only show a Templates Soon placeholder card (showTemplateGrid false), no actual list yet."
A,components/studio/create/character/character-template-picker/CharacterTemplateModal.view.jsx,Studio > Create > Character > Character Template Picker > Template Card,Apply Template (per template card action button),button,NONE,no,NONE,"onApply(originalTemplate), the shared save action passed into this unit as the onApply prop. chooseTemplate() in useCharacterTemplateModalViewModel.js looks up the full original template object (from props.templates, matched by id) and calls onApply?.(originalTemplate). The concrete implementation of onApply lives outside this unit; the caller CharacterCreator.jsx wires it to a local applyTemplate function (components/studio/create/character/CharacterCreator.jsx, prop passed at CharacterTemplateModal onApply={applyTemplate}). Tracing further into applyTemplate is outside this unit's files.","onChooseTemplate, wired to chooseTemplate(templateId), fired via onClick={() => onChooseTemplate?.(template?.id || """")}","props.templates array passed into useCharacterTemplateModalViewModel (originating from CharacterCreator.jsx characterTemplates prop, outside this unit); chooseTemplate finds original template by id match","Only rendered when showTemplateGrid is true, i.e. activeTabId === BUILT_IN. Repeats once per template card in the visibleTemplates (filtered) list, one row emitted per instructions covering the repeat pattern.","actionLabel defaults to Apply Template but is data-driven per card (template.actionLabel), always Apply Template in current fixtures and normalizeTemplate mapping. Card itself (source, category, title, description, prefill summary) is display-only, not an interactive control."
