page_route,page_purpose,block,control_label,control_type,what_it_does,component_package,shared_or_unique,binding_shell,viewmodel_or_hook,data_source,read_or_write,operation_name,ui_states_present,auth_required,status,notes,max_length,required,default_value,destination_page
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",top nav,Crestfall wordmark / crest logo,link,Links to / (home),components/SiteHeader.js,shared,page-inline,,none,none,,none,no,working,Rendered on every public page via SiteHeader,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",top nav,Intro / Lore / Characters / Locations / Factions / Stories / Chronicle / Studio,link,Static nav links to their respective routes; hidden below md breakpoint (no mobile nav in this component),components/SiteHeader.js,shared,page-inline,,none,none,,none,no,working,Studio link is a plain <a> not next/link,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",footer,Lore / Characters / Locations / Factions / Stories / Chronicle nav links,link,Static footer nav links to archive sections,components/SiteFooter.jsx,shared,page-inline,,none,none,,none,no,working,Used on / (home) only among assigned routes; SiteShell-based pages use their own footer-less layout,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",footer,Privacy Policy link,link,Links to /terms/privacy-policy,components/SiteFooter.jsx,shared,page-inline,,none,none,,none,no,working,Slug matches data/policies.js entry privacy-policy,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",footer,Terms of Service link,link,Links to /terms/service,components/SiteFooter.jsx,shared,page-inline,,none,none,,none,no,broken,Target slug service does not exist in data/policies.js (real slug is terms-of-service); this link 404s via notFound() in app/terms/[slug]/page.js,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",footer,Policies link,link,Links to /terms,components/SiteFooter.jsx,shared,page-inline,,none,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",footer,Contact link,link,Links to /contact,components/SiteFooter.jsx,shared,page-inline,,none,none,,none,no,broken,"No app/contact route found in repo listing seen so far; unverified, flagged as risk",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",floating corner controls,Scroll to top,button,"window.scrollTo top, smooth",components/ScrollControls.jsx,shared,SiteShell,,local_state,none,,none,no,working,"Rendered inside SiteShell, so present on /characters, /terms, /terms/[slug], character detail, intro but NOT on / (home uses its own layout, not SiteShell)",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/ (site shell),"Shared public chrome (header, footer, scroll controls) rendered across public lore pages.",floating corner controls,Scroll to bottom,button,"window.scrollTo document.body.scrollHeight, smooth",components/ScrollControls.jsx,shared,SiteShell,,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),"Shared chrome (sidebar, mobile nav, top bar, account/economy) mounted around every authenticated studio page.",sidebar - brand/collapse,Collapse sidebar / Expand sidebar,button,"Toggles sidebar between 56-wide expanded and 16-wide icon-only collapsed layout; pure client state, no persistence.",components/studio/studio-sidebar,shared,StudioSidebar,useStudioSidebarViewModel,local_state,write,,none,yes,working,Collapsed state is not persisted across navigations/reloads.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
